1101,北京市,110108,海淀区,2,2,普通本科,570,北京工商大学,公办,11,北京,财经类,
1306,保定市,0,,2,2,普通本科,598,河北农业大学,公办,13,河北,农林类,
1101,北京市,110107,石景山区,2,2,普通本科,561,北方工业大学,公办,11,北京,理工类,
6101,西安市,610116,长安区,2,2,普通本科,363,西安邮电大学,公办,61,陕西,理工类,
1101,北京市,110106,丰台区,2,2,普通本科,565,北京电子科技学院,公办,11,北京,理工类,
5101,成都市,510104,锦江区,2,2,普通本科,265,四川师范大学,公办,51,四川,师范类,
5301,昆明市,530114,呈贡区,2,2,普通本科,344,云南师范大学,公办,53,云南,师范类,
4304,衡阳市,430407,石鼓区,2,2,普通本科,391,南华大学,公办,43,湖南,综合类,
3601,南昌市,0,,2,2,普通本科,172,江西农业大学,公办,36,江西,农林类,
3701,济南市,370104,槐荫区,2,2,普通本科,551,山东第一医科大学,公办,37,山东,医药类,
4108,焦作市,0,,2,2,普通本科,463,河南理工大学,公办,41,河南,理工类,
3205,苏州市,320505,虎丘区,2,2,普通本科,163,苏州科技大学,公办,32,江苏,综合类,
1501,呼和浩特市,0,,2,2,普通本科,517,内蒙古农业大学,公办,15,内蒙古,农林类,
1101,北京市,110108,海淀区,2,2,普通本科,879,北京信息科技大学,公办,11,北京,理工类,
6201,兰州市,0,,2,2,普通本科,488,兰州交通大学,公办,62,甘肃,理工类,
4404,珠海市,440402,香洲区,2,2,普通本科,1275,北京师范大学-香港浸会大学联合国际学院,内地与港澳台地区合作办学,44,广东,综合类,
3201,南京市,320111,浦口区,2,2,普通本科,151,南京审计大学,公办,32,江苏,财经类,
4101,郑州市,0,,2,2,普通本科,466,河南工业大学,公办,41,河南,理工类,
1201,天津市,120103,河西区,2,2,普通本科,84,天津财经大学,公办,12,天津,财经类,
3702,青岛市,370203,市北区,2,2,普通本科,509,青岛理工大学,公办,37,山东,理工类,
1101,北京市,110102,西城区,2,2,普通本科,576,中国人民公安大学,公办,11,北京,政法类,双一流
2102,大连市,210211,甘井子区,2,2,普通本科,211,大连工业大学,公办,21,辽宁,理工类,
3203,徐州市,320302,鼓楼区,2,2,普通本科,158,徐州医科大学,公办,32,江苏,医药类,
1101,北京市,110108,海淀区,2,2,普通本科,594,国际关系学院,公办,11,北京,政法类,
2101,沈阳市,210113,沈北新区,2,2,普通本科,209,沈阳航空航天大学,公办,21,辽宁,理工类,
2101,沈阳市,210103,沈河区,2,2,普通本科,226,沈阳药科大学,公办,21,辽宁,医药类,
